Wall time,Step,Value
1714642952.1308818,25,1.8460999727249146
1714643020.9132693,50,1.868399977684021
1714643086.4323046,75,1.679900050163269
1714643152.8324687,100,1.8387999534606934
1714643217.2760694,125,1.5595999956130981
1714643280.9142237,150,1.7410000562667847
1714643341.8416584,175,1.5891000032424927
1714643401.748429,200,1.5565999746322632
1714643461.1375692,225,1.5812000036239624
1714643519.189109,250,1.4958000183105469
1714643577.4911575,275,1.545199990272522
1714643634.8147094,300,1.472100019454956
1714643692.1058176,325,1.4538999795913696
1714643748.2915897,350,1.423200011253357
1714643805.1496046,375,1.344099998474121
1714643861.7582862,400,1.4190000295639038
1714643918.1873596,425,1.5098999738693237
1714643973.6592555,450,1.4509999752044678
1714644028.9339368,475,1.3317999839782715
1714644084.6144762,500,1.3831000328063965
1714644140.390753,525,1.3583999872207642
1714644194.9991088,550,1.325700044631958
1714644249.6571026,575,1.335800051689148
1714644304.8690226,600,1.3222999572753906
1714644360.6766918,625,1.3732000589370728
1714644415.7220616,650,1.4752000570297241
1714644469.7464788,675,1.315999984741211
1714644524.1618333,700,1.347100019454956
1714644578.009008,725,1.3317999839782715
1714644631.6341813,750,1.1790000200271606
1714644685.0961797,775,1.2590999603271484
1714644738.6694932,800,1.2720999717712402
1714644792.0915694,825,1.2563999891281128
1714644845.1335118,850,1.2541999816894531
1714644897.8322163,875,1.1861000061035156
1714644951.0983343,900,1.3504999876022339
1714645003.7017782,925,1.1985000371932983
1714645056.1876547,950,1.2383999824523926
1714645108.8881695,975,1.2963000535964966
1714645161.3776345,1000,1.2174999713897705
1714645843.7023895,1025,1.3224999904632568
1714645899.6291096,1050,1.2661999464035034
1714645954.7777405,1075,1.2506999969482422
1714646009.8079476,1100,1.3006999492645264
1714646063.6478603,1125,1.2211999893188477
1714646118.4230561,1150,1.2646000385284424
1714646172.6988797,1175,1.1390999555587769
1714646226.072511,1200,1.32669997215271
1714646279.02395,1225,1.1999000310897827
1714646331.8286788,1250,1.2111999988555908
1714646379.666285,1275,1.085800051689148
1714646427.6774468,1300,0.9039999842643738
1714646475.6616178,1325,0.9140999913215637
1714646523.6140735,1350,0.840399980545044
1714646572.1045618,1375,0.9239000082015991
1714646622.4460278,1400,0.9142000079154968
1714646673.0440161,1425,0.899399995803833
1714646723.2804918,1450,0.9692000150680542
