Wall time,Step,Value
1714644100.296626,25,1.658400058746338
1714644167.84483,50,1.5113999843597412
1714644234.929464,75,1.476699948310852
1714644298.3821218,100,1.4110000133514404
1714644361.5108306,125,1.4149999618530273
1714644423.796692,150,1.2559000253677368
1714644484.3215919,175,1.333400011062622
1714644544.3718674,200,1.1787999868392944
1714644602.0705667,225,1.3336000442504883
1714644661.2807097,250,1.2660000324249268
1714644719.0304303,275,1.2522000074386597
1714644776.229041,300,1.3639999628067017
1714644833.039386,325,1.1445000171661377
1714644889.1563108,350,1.2237000465393066
1714644945.467061,375,1.1531000137329102
1714645001.4445443,400,1.2649999856948853
1714645057.077844,425,1.2187000513076782
1714645112.4203787,450,1.2554999589920044
1714645166.9169648,475,1.2229000329971313
1714645221.516964,500,1.236799955368042
1714645275.9048023,525,1.2768000364303589
1714645330.0517528,550,1.2746000289916992
1714645384.849576,575,1.271399974822998
1714645439.0293283,600,1.2721999883651733
1714645493.0246246,625,1.1404000520706177
1714645547.1124895,650,1.1850999593734741
1714645601.4895046,675,1.2517000436782837
1714645655.3298059,700,1.1376999616622925
1714645709.5007193,725,1.1670000553131104
1714645763.1868894,750,1.1425000429153442
1714645816.9357138,775,1.3557000160217285
1714645869.9911842,800,1.1377999782562256
1714645922.8119414,825,1.1548999547958374
1714645975.1029482,850,1.1066999435424805
1714646027.5322242,875,1.0842000246047974
1714646080.1166663,900,1.2223999500274658
1714646132.8170402,925,1.1574000120162964
1714646185.0509686,950,1.0843000411987305
1714646236.7965615,975,1.1495000123977661
1714646288.5540943,1000,1.1663999557495117
1714647035.990248,1025,1.1030000448226929
1714647087.439935,1050,1.1038000583648682
1714647139.2357845,1075,1.1026999950408936
1714647190.4535058,1100,1.1110999584197998
1714647241.0793405,1125,1.1109000444412231
1714647291.8408933,1150,1.197100043296814
1714647343.1517227,1175,1.170199990272522
1714647394.0964446,1200,1.1619999408721924
1714647444.4099972,1225,1.1105999946594238
1714647494.9164221,1250,1.0821000337600708
1714647545.8688297,1275,1.1619000434875488
1714647596.2848637,1300,1.1461999416351318
1714647646.135043,1325,1.2142000198364258
1714647708.791983,1350,1.152999997138977
1714647777.9558177,1375,1.1604000329971313
1714647841.5091455,1400,1.2232999801635742
1714647904.4782865,1425,1.0068999528884888
1714647966.3528583,1450,0.8216999769210815
1714648025.9090226,1475,0.8894000053405762
1714648086.8628376,1500,0.8474000096321106
1714648143.8172882,1525,0.8747000098228455
1714648199.537103,1550,0.8259999752044678
1714648254.6929915,1575,0.8507999777793884
1714648310.8757572,1600,0.8138999938964844
1714648365.7256591,1625,0.7383000254631042
1714648421.4005816,1650,0.8406000137329102
1714648477.7500136,1675,0.8421000242233276
1714648531.895516,1700,0.8858000040054321
1714648586.1052933,1725,0.9215999841690063
1714648641.2229621,1750,0.8288999795913696
1714648695.649796,1775,0.9607999920845032
1714648749.4752822,1800,0.8079000115394592
1714648804.219523,1825,0.8917999863624573
1714648859.211783,1850,0.8302000164985657
1714648911.770269,1875,0.8743000030517578
1714648966.9724839,1900,0.8838000297546387
1714649022.483802,1925,0.8611000180244446
1714649076.5764198,1950,0.8815000057220459
1714649129.416985,1975,0.8292999863624573
1714649185.7150366,2000,0.8629000186920166
1714649956.6318932,2025,0.8398000001907349
1714650012.2307916,2050,0.9232000112533569
1714650066.8133636,2075,0.8977000117301941
1714650121.757379,2100,0.8399999737739563
1714650178.5081837,2125,0.9377999901771545
1714650232.353341,2150,0.7246999740600586
1714650285.9140923,2175,0.8945000171661377
1714650339.5374675,2200,0.8604999780654907
1714650393.576048,2225,0.840499997138977
1714650446.557613,2250,0.8314999938011169
1714650498.5687287,2275,0.8511000275611877
1714650550.355868,2300,0.8065999746322632
1714650601.8397698,2325,0.8248999714851379
1714650654.5391817,2350,0.88919997215271
1714650705.900758,2375,0.8730999827384949
1714650757.2431014,2400,0.7706999778747559
1714650809.181901,2425,0.8605999946594238
1714650859.8128226,2450,0.8133999705314636
1714650910.0360034,2475,0.8725000023841858
1714650961.0117602,2500,0.9089000225067139
