Wall time,Step,Value
1714669276.2786157,25,1.8732999563217163
1714669347.7656083,50,1.6852999925613403
1714669416.4193683,75,1.6101000308990479
1714669484.4002914,100,1.7625000476837158
1714669551.4450285,125,1.6507999897003174
1714669616.735151,150,1.6031999588012695
1714669682.5316691,175,1.5002000331878662
1714669748.229793,200,1.3827999830245972
1714669810.4493184,225,1.5199999809265137
1714669874.9826367,250,1.5192999839782715
1714669935.254143,275,1.513100028038025
1714669995.6812804,300,1.4526000022888184
1714670055.841931,325,1.5262000560760498
1714670117.257326,350,1.3969999551773071
1714670175.7419436,375,1.524399995803833
1714670234.3452542,400,1.3961999416351318
1714670294.015415,425,1.3372000455856323
1714670353.3868947,450,1.4259999990463257
1714670413.4788687,475,1.3301000595092773
1714670472.0843086,500,1.243299961090088
1714670533.5319524,525,1.2761000394821167
1714670592.1233747,550,1.4599000215530396
1714670650.8001466,575,1.251099944114685
1714670708.7245424,600,1.2121000289916992
1714670767.426046,625,1.4637000560760498
1714670824.1410697,650,1.260699987411499
1714670882.3916984,675,1.4524999856948853
1714670939.880657,700,1.2905000448226929
1714671001.4818323,725,1.3567999601364136
1714671061.3012235,750,1.2892999649047852
1714671119.9538338,775,1.2680000066757202
1714671179.53031,800,1.2924000024795532
1714671237.6145196,825,1.3533999919891357
1714671296.2260559,850,1.2649999856948853
1714671354.0564966,875,1.3020000457763672
1714671411.8676586,900,1.25
1714671469.8666883,925,1.2914999723434448
1714671527.006869,950,1.2868000268936157
1714671584.798514,975,1.2259000539779663
1714671642.1299534,1000,1.394700050354004
1714672852.5572295,1025,1.2824000120162964
1714672907.6296546,1050,1.3135000467300415
1714672960.936027,1075,1.2259000539779663
1714673013.607694,1100,1.2408000230789185
1714673066.81791,1125,1.2720999717712402
1714673119.8998506,1150,1.3392000198364258
1714673172.254866,1175,1.2862999439239502
1714673224.5466635,1200,1.3248000144958496
1714673277.151506,1225,1.3406000137329102
1714673330.1981952,1250,1.2109999656677246
1714673383.0155087,1275,1.3339999914169312
1714673436.157234,1300,1.298200011253357
1714673489.4346626,1325,1.2365000247955322
1714673541.9182189,1350,1.2032999992370605
1714673595.5021522,1375,1.2318999767303467
1714673648.5123968,1400,1.1543999910354614
1714673701.597457,1425,1.3495999574661255
1714673755.0434337,1450,1.2726999521255493
1714673807.6697114,1475,1.2371000051498413
1714673860.5402298,1500,1.2455999851226807
1714673913.2806785,1525,1.1862000226974487
1714673965.2968843,1550,1.1801999807357788
1714674016.998868,1575,1.186900019645691
1714674068.89204,1600,1.2752000093460083
1714674120.368485,1625,1.0829999446868896
1714674172.182624,1650,1.1785000562667847
1714674223.6930754,1675,1.2115000486373901
1714674275.0897791,1700,1.1398999691009521
1714674326.499287,1725,1.2942999601364136
1714674379.0437014,1750,1.176800012588501
1714674431.6967883,1775,1.177899956703186
1714674483.577618,1800,1.1575000286102295
1714674534.720671,1825,1.299299955368042
1714674586.8880744,1850,1.1476000547409058
1714674638.295532,1875,1.1855000257492065
1714674689.545392,1900,1.2041000127792358
1714674740.8839846,1925,1.2062000036239624
1714674791.8667486,1950,1.0671000480651855
1714674843.0015614,1975,1.1970000267028809
1714674893.791254,2000,1.3329999446868896
1714676151.5222468,2025,1.1585999727249146
1714676205.4663606,2050,1.2462999820709229
1714676260.1901944,2075,1.1763999462127686
1714676314.908199,2100,1.2382999658584595
1714676368.793213,2125,1.1965999603271484
1714676423.3362038,2150,1.1505999565124512
1714676475.5737429,2175,1.003999948501587
1714676526.0652246,2200,0.8598999977111816
1714676575.3331568,2225,0.9143999814987183
1714676625.2798102,2250,0.8629999756813049
1714676674.0667307,2275,0.8260999917984009
1714676723.7166905,2300,0.7936000227928162
1714676772.7512078,2325,0.8795999884605408
1714676822.2937472,2350,0.9498999714851379
1714676870.8437676,2375,0.8658999800682068
1714676918.3120368,2400,0.7468000054359436
1714676967.4017622,2425,0.9936000108718872
1714677016.0138683,2450,0.9272000193595886
1714677065.5959203,2475,0.8392000198364258
1714677114.6624587,2500,0.7856000065803528
1714677163.4861412,2525,0.9909999966621399
1714677213.0988326,2550,0.9559999704360962
1714677261.7226236,2575,0.9221000075340271
1714677310.3717518,2600,0.8137999773025513
1714677359.623929,2625,0.9199000000953674
1714677408.2890568,2650,0.9146000146865845
1714677456.9612288,2675,0.8323000073432922
1714677505.589057,2700,0.8450999855995178
1714677556.9455128,2725,0.8414999842643738
1714677606.4938006,2750,0.8554999828338623
1714677656.323604,2775,1.0149999856948853
1714677705.783936,2800,0.848800003528595
1714677755.7662544,2825,0.9097999930381775
1714677804.7637782,2850,0.8866000175476074
1714677854.4182127,2875,0.8871999979019165
1714677904.713688,2900,0.8101999759674072
1714677953.9383302,2925,0.9068999886512756
1714678003.3654394,2950,0.8646000027656555
1714678052.5994747,2975,0.9674000144004822
1714678102.4840527,3000,0.9179999828338623
1714679315.3506937,3025,0.8246999979019165
1714679362.893558,3050,0.807699978351593
1714679411.1688492,3075,0.9273999929428101
1714679460.0623844,3100,0.9581000208854675
1714679509.062777,3125,0.8945000171661377
1714679557.872008,3150,0.8454999923706055
1714679607.5046499,3175,0.8707000017166138
1714679656.8150694,3200,0.9138000011444092
1714679705.7690454,3225,0.8292999863624573
1714679753.6158614,3250,0.8586000204086304
1714679802.8994923,3275,0.9239000082015991
1714679851.076584,3300,0.8682000041007996
1714679899.6717727,3325,0.863099992275238
1714679948.8578172,3350,0.8881999850273132
1714679997.2944694,3375,0.9580000042915344
1714680046.4730084,3400,0.8277999758720398
1714680096.3139586,3425,0.8852999806404114
1714680145.154212,3450,0.8877000212669373
1714680194.5288043,3475,0.8934999704360962
1714680247.6679997,3500,0.8421000242233276
1714680301.2162673,3525,0.7910000085830688
1714680355.604112,3550,0.8109999895095825
1714680418.8406389,3575,0.8526999950408936
1714680479.226054,3600,0.8507000207901001
1714680540.613792,3625,0.8945000171661377
1714680599.9772336,3650,0.8866000175476074
1714680658.02126,3675,0.8862000107765198
1714680719.6874719,3700,0.8744000196456909
1714680777.9873023,3725,0.9269999861717224
1714680835.275001,3750,0.8661999702453613
1714680893.8409963,3775,0.8295999765396118
1714680950.7205198,3800,0.8567000031471252
1714681006.9520946,3825,0.8871999979019165
1714681062.7902503,3850,0.9315999746322632
1714681118.254884,3875,0.8485999703407288
1714681173.7617018,3900,0.8618000149726868
1714681233.6697705,3925,0.7407000064849854
1714681288.9035847,3950,0.7620000243186951
1714681342.916778,3975,0.8424999713897705
1714681397.042176,4000,0.8402000069618225
1714682562.4859,4025,0.9485999941825867
1714682622.6996167,4050,0.8256000280380249
1714682681.5720906,4075,0.7750999927520752
1714682740.1097176,4100,0.7770000100135803
1714682798.4533432,4125,0.7842000126838684
1714682856.627712,4150,0.79339998960495
1714682913.1434252,4175,0.9092000126838684
1714682969.2950492,4200,0.8693000078201294
1714683025.0997097,4225,0.8973000049591064
1714683081.9366844,4250,0.8385000228881836
1714683137.3661492,4275,0.789900004863739
1714683193.172569,4300,0.982200026512146
1714683249.1265213,4325,0.7993999719619751
1714683300.959072,4350,0.5803999900817871
1714683352.1722062,4375,0.7005000114440918
1714683403.4374378,4400,0.6735000014305115
1714683455.3634553,4425,0.6316999793052673
1714683506.5245724,4450,0.5641999840736389
1714683558.0259254,4475,0.5800999999046326
1714683608.984853,4500,0.7253000140190125
1714683660.125467,4525,0.6464999914169312
1714683711.3216631,4550,0.6848999857902527
1714683762.112519,4575,0.5892000198364258
1714683813.667347,4600,0.5680999755859375
1714683865.294019,4625,0.6496000289916992
1714683917.08331,4650,0.677299976348877
1714683969.0074584,4675,0.6851999759674072
1714684021.4075396,4700,0.6886000037193298
1714684073.0575233,4725,0.6392999887466431
1714684124.098961,4750,0.6516000032424927
1714684174.4769335,4775,0.6593999862670898
1714684225.3477995,4800,0.6383000016212463
1714684275.9650223,4825,0.5530999898910522
1714684327.255599,4850,0.673799991607666
1714684378.0208194,4875,0.6430000066757202
1714684429.024515,4900,0.6843000054359436
1714684479.6828954,4925,0.6416000127792358
1714684529.8114104,4950,0.6123999953269958
1714684580.6745758,4975,0.6626999974250793
1714684630.6964931,5000,0.6894000172615051
